Image,NW Corner Lat,NW Corner Long,SE Corner Lat,SE Corner Long
7.jpg,43.13812222222222,-85.74686666666666,43.131375,-85.73734722222223
9.jpg,43.15206111111111,-85.72843888888869,43.145313888886806,-85.71891944444445
10.jpg,43.179608333333364,-85.71967222222223,43.17285893333333,-85.71015
11.jpg,42.857350000000004,-85.70330883833334,42.8506,-85.69363611111111
13.jpg,43.09066388888889,-85.699,43.083913888888804,-85.68949444444445
14.jpg,42.8028,-85.67417777777779,42.79604722222222,-85.66471944444444
18.jpg,43.19438888888889,-85.62623333333333,43.19438888888889,-85.61685833333333
22.jpg,43.215260444444445,-85.59852222222221,43.208511111111115,-85.58900883833333
25.jpg,42.89555277777778,-85.31223333333332,42.88876944444444,-85.30279999999999
27.jpg,42.768505555555556,-85.67345555555556,42.76175277777778,-85.66400277777778
