Image,NW Corner Lat,NW Corner Long,SE Corner Lat,SE Corner Long
1.jpg,42.884005555555554,-85.76918888888889,42.87726111111111,-85.75970833333334
2.jpg,42.918299999999995,-85.7699566666666,42.91155555555555,-85.76048055555556
3.jpg,43.24042777777778,-85.79607777777778,43.23368333333333,-85.78653888888888
4.jpg,43.29844444444444,-85.51565833333333,43.29168055555555,-85.5061416666666
5.jpg,42.778375,-85.78739722222222,42.76762777777776,-85.74793333333334
6.jpg,42.76861111111111,-85.66414722222223,42.761858333333336,-85.65469444444444
7.jpg,42.90241111111111,-85.3123361111111,42.89562777777776,-85.30290277777777
9.jpg,42.96056111111111,-85.6775138888889,42.953808333333335,-85.66803333833334
10.jpg,43.02106944444444,-85.78165277777778,43.014325,-85.77214722222222
11.jpg,42.88389166666666,-85.77851666660565,42.87714722222222,-85.76903833833333
12.jpg,42.88489444444444,-85.69457222222222,42.878144444444445,-85.6851
13.jpg,42.89904166666667,-85.65755,42.89228611111111,-85.64807777777779
14.jpg,43.14564166666666,-85.69081944444444,43.138888888888806,85.68130555555555
15.jpg,42.81619722222222,-85.70241944444444,42.80944444444445,-85.6929555555556
16.jpg,43.09763055555556,-85.6897888888889,43.09087777777778,-85.68028333333334
17.jpg,43.110686111111114,-85.74625277777778,43.10393888888889,-85.7367388888889
18.jpg,43.13812222222222,-85.74686666666666,43.131375,-85.73734722222223
19.jpg,43.076505555555556,-85.73613055555556,43.06975893333334,-85.72662222222222
20.jpg,43.15206111111111,-85.72843888888869,43.145313888886806,-85.71891944444445
21.jpg,43.179608333333364,-85.71967222222223,43.17285893333333,-85.71015
22.jpg,42.857350000000004,-85.70330883833334,42.8506,-85.69363611111111
23.jpg,42.78200833333333,-85.69236044444445,42.77525893333333,-85.68291111111111
24.jpg,43.09066388888889,-85.699,43.083913888888804,-85.68949444444445
25.jpg,42.80966111111111,-85.67432500000001,42.80290833333333,-85.66486388888889
26.jpg,42.8028,-85.67417777777779,42.79604722222222,-85.66471944444444
27.jpg,43.056691666656666,-85.67020000000001,43.04993888888889,-85.66070277777779
29.jpg,42.80342777777778,-85.61828888888888,42.79686944444444,-85.6088361111111
30.jpg,43.19438888888889,-85.62623333333333,43.19438888888889,-85.61685833333333
31.jpg,43.112186111111114,-85.61518888888888,43.10542777777778,-85.60569166666666
32.jpg,43.11904444444445,-85.61532777777778,43.11228611111111,-85.60582777777778
33.jpg,43.16019722222222,-85.61618388888868,43.153438888886806,-85.6066
34.jpg,42.83106666666667,-85.60020277777777,42.82430555555556,-85.59075
35.jpg,43.119147222222225,-85.60596666666568,43.11238888888889,-85.
36.jpg,43.215260444444445,-85.59852222222221,43.208511111111115,-85.58900883833333
37.jpg,42.97530833333334,-85.58439722222222,42.96854722222223,-85.57492222222221
38.jpg,43.208511111111115,-85.58900883833333,43.201750000000004,-85.57949722222222
